title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Drama",1988,tt0094675,7.4,9229,
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.4,8058,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2388234,
"American Beauty",movie,Drama,1999,tt0169547,8.3,1251607,
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,528519,
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,216276,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,455864,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1140153,
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,268329,
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,265153,
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,120119,
"8 Mile",movie,"Drama, Music",2002,tt0298203,7.2,339278,
"Paradise Now",movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24538,
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,748090,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,148270,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1234429,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252749,
"Before Sunrise",movie,"Comedy, Drama, Romance",1995,tt0112471,8.1,360577,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1383083,
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,190992,
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,303247,
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,191206,
"Open Water",movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57983,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1077538,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,553608,
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,270189,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,840875,
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,224647,
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,143870,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1766887,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,107053,
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1306573,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11327,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,982582,
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213815,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1382996,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,948618,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,969969,
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14243,
"The Untouchables",movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,344437,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,552605,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2115951,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1879988,
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2085626,
"Princess Mononoke",movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,462284,
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,914816,
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,342121,
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,718758,
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,65004,
